Functions,Taylor Series
-5*x**3 + 4*x**2 + 6*x + 3,-5*x**3 + 4*x**2 + 6*x + 3
-x**3 - 7*x**2 + 3*x + 1,-x**3 - 7*x**2 + 3*x + 1
7*x**3 + 8*x**2 - 8*x - 7,7*x**3 + 8*x**2 - 8*x - 7
-3*x**3 - 8*x**2 - 4*x - 9,-3*x**3 - 8*x**2 - 4*x - 9
4*x**2 - 2*x + 4,4*x**2 - 2*x + 4
-x**3 + 6*x**2 + 3*x + 5,-x**3 + 6*x**2 + 3*x + 5
-10*x**3 - 9*x**2 - 6*x + 6,-10*x**3 - 9*x**2 - 6*x + 6
9*x**3 - 5*x**2 - 8*x - 3,9*x**3 - 5*x**2 - 8*x - 3
9*x**3 + x**2 - x + 10,9*x**3 + x**2 - x + 10
2*x**3 - 8*x**2 - 4*x - 8,2*x**3 - 8*x**2 - 4*x - 8
2*x**3 + 3*x - 6,2*x**3 + 3*x - 6
-6*x**3 - 9*x**2 - 6*x + 7,-6*x**3 - 9*x**2 - 6*x + 7
-5*x**3 + 5*x**2 + 2*x + 5,-5*x**3 + 5*x**2 + 2*x + 5
-4*x**3 + x**2 + 7*x - 8,-4*x**3 + x**2 + 7*x - 8
5*x**3 - 5*x**2 - 9*x - 4,5*x**3 - 5*x**2 - 9*x - 4
9*x**3 + 2*x**2 - 10*x - 4,9*x**3 + 2*x**2 - 10*x - 4
7*x**3 + 5*x**2 - 2*x + 4,7*x**3 + 5*x**2 - 2*x + 4
8*x**3 - 4*x**2 - 7*x - 9,8*x**3 - 4*x**2 - 7*x - 9
6*x**3 - x**2 + 10*x + 10,6*x**3 - x**2 + 10*x + 10
3*x**3 - 8*x**2 - 10*x + 9,3*x**3 - 8*x**2 - 10*x + 9
-x**3 + 5*x**2 - 2*x + 6,-x**3 + 5*x**2 - 2*x + 6
-6*x**3 + 8*x**2 - 6*x - 7,-6*x**3 + 8*x**2 - 6*x - 7
5*x**3 + 6*x**2 + 6*x - 4,5*x**3 + 6*x**2 + 6*x - 4
-x**3 - 6*x**2 + x + 8,-x**3 - 6*x**2 + x + 8
4*x**3 - 6*x**2 + 8*x - 6,4*x**3 - 6*x**2 + 8*x - 6
-x**3 + 5*x**2 - 5*x,-x**3 + 5*x**2 - 5*x
-10*x**3 - 4*x**2 + 10*x,-10*x**3 - 4*x**2 + 10*x
-3*x**3 - 9*x + 3,-3*x**3 - 9*x + 3
5*x**3 - 10*x**2 - 4*x + 1,5*x**3 - 10*x**2 - 4*x + 1
-2*x**3 + 7*x**2 + 5*x - 6,-2*x**3 + 7*x**2 + 5*x - 6
3*x**2 + 4*x - 2,3*x**2 + 4*x - 2
-3*x**3 + 7*x - 5,-3*x**3 + 7*x - 5
-2*x**3 - 5*x + 9,-2*x**3 - 5*x + 9
7*x**3 + 7*x**2 + 3*x + 9,7*x**3 + 7*x**2 + 3*x + 9
2*x**3 - 10*x**2 + 3*x - 6,2*x**3 - 10*x**2 + 3*x - 6
4*x**3 + 9*x**2 + 9*x - 2,4*x**3 + 9*x**2 + 9*x - 2
8*x**3 + 6*x**2 + 3*x - 1,8*x**3 + 6*x**2 + 3*x - 1
-9*x**3 + 4*x + 7,-9*x**3 + 4*x + 7
5*x**3 + 5*x**2 + 10*x + 9,5*x**3 + 5*x**2 + 10*x + 9
-9*x**3 - 2*x**2 - 2*x + 7,-9*x**3 - 2*x**2 - 2*x + 7
8*x**3 + 10*x**2 + 5*x + 10,8*x**3 + 10*x**2 + 5*x + 10
4*x**3 + 10*x**2 - 8*x - 9,4*x**3 + 10*x**2 - 8*x - 9
-2*x**3 - x**2 + 5*x + 2,-2*x**3 - x**2 + 5*x + 2
x**3 - 2*x**2 - 8*x - 3,x**3 - 2*x**2 - 8*x - 3
-6*x**3 - 3*x**2 + 5*x - 2,-6*x**3 - 3*x**2 + 5*x - 2
-x**3 - 9*x**2 - 5,-x**3 - 9*x**2 - 5
4*x**3 + 10*x**2 + 2*x + 9,4*x**3 + 10*x**2 + 2*x + 9
8*x**3 + 4*x**2 + 8*x + 2,8*x**3 + 4*x**2 + 8*x + 2
9*x**3 + 9*x**2 + 8*x + 2,9*x**3 + 9*x**2 + 8*x + 2
9*x**3 + 7*x**2 + 9,9*x**3 + 7*x**2 + 9
-8*x**3 + 6*x**2 - 4*x + 2,-8*x**3 + 6*x**2 - 4*x + 2
-10*x**3 - 9*x**2 + x + 2,-10*x**3 - 9*x**2 + x + 2
sin(x),-x**3/6 + x
cos(x),x**4/24 - x**2/2 + 1
tan(x),x**3/3 + x
exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
log(x),log(x)
sqrt(x),sqrt(x)
sinh(x),x**3/6 + x
cosh(x),x**4/24 + x**2/2 + 1
tanh(x),-x**3/3 + x
asin(x),x**3/6 + x
acos(x),-x**3/6 - x + pi/2
atan(x),-x**3/3 + x
1/(1 - x),x**4 + x**3 + x**2 + x + 1
1/(x + 3),x**4/243 - x**3/81 + x**2/27 - x/9 + 1/3
